Dimension,Weight
146,-0.1435746595490787
147,0.018629215220977685
148,0.1968741328967805
149,0.22968785716470003
150,-0.15879391433129708
151,0.000842067006848404
152,0.24039367812042492
153,0.11445883425388408
154,-0.22514852028652257
155,-0.07474294507099896
156,-0.11457311502443267
157,-0.395617330805898
158,-0.13955697063934921
159,-0.2344673517159553
160,0.2581811684570484
161,-0.08184230885879501
162,-0.35309214425933744
163,0.16764870198252835
164,0.24860342466058982
165,0.24498532879754154
166,-0.10916652474257377
167,0.08263120611864304
168,0.4446871423471807
169,-0.013687323783589753
170,-0.4071870922842439
171,-0.4829318764136648
172,0.3515045104966633
173,-0.2741516980000489
174,-0.5762582859141883
175,0.15035793203873266
176,-0.5116825783382701
177,0.13964570434465193
178,-0.31045761417258283
179,0.3539366667373946
180,-0.31060513415801855
181,-0.1903982000672154
182,0.7504852994141181
183,0.33958840683040037
184,-0.3556166398899489
185,0.14318521705832188
186,-0.24345183029463516
187,0.04311989523790112
188,-0.17839043086449186
189,0.021348721877189895
190,-0.8483333932031688
191,-0.5359210340094581
192,0.6563068966605192
193,-0.1472320478618974
194,0.17725554187930498
195,-0.607152185490924
196,-0.0050775140684286724
197,-0.22337222910034354
198,0.028158584000692002
199,-0.29752049757215576
200,0.18160572749661402
201,0.27929028274592177
202,-0.376679346361691
203,0.521830312294475
204,0.05921234951820472
205,0.760879870676275
206,-0.1815151853256849
207,0.12484029741555085
208,0.29043626734326206
209,-0.0024699969826585825
210,0.28250042069961284
211,-0.06316667599202407
212,-0.404476944528182
213,0.12897562327635773
214,-0.35263795752896615
215,-0.008568495867755871
216,-0.005026406568025345
217,-0.1628308826809571
218,0.16091316876873032
219,0.22550191878936893
220,-0.05479493061853097
221,-0.21759969753701078
222,-0.21667063340650272
223,-0.05737084846813673
224,-0.12207268252902664
225,0.4414856358160568
226,-0.08709486835349542
227,0.19089697306523515
228,-0.017509651066115673
229,-0.16851842901891578
230,0.4387169466848164
231,0.2393701494125533
232,0.15891786798524452
233,-0.2985703611423846
234,0.12419874051540726
235,-0.39928489385267135
236,0.17756347686734233
237,0.31024347795176366
238,0.018446114484148082
239,-0.30041283601440055
240,-0.22161953347052704
241,-0.003333397533042041
242,0.430449971447221
243,0.08153296947581748
244,-0.09371424020503871
245,0.060626977973760265
246,-0.40926561232758896
247,-0.41840361865238007
248,-0.13297003714446087
249,0.05212996050509592
250,-0.0807419904621445
251,0.09962385663053006
252,-0.07868561152623178
253,0.03187424484409155
254,0.0955403911300133
255,0.448537992892139
256,0.3857960099067085
257,0.27977814766011627
258,0.30594232501543933
259,-0.25480052204172465
260,0.1996507244225962
261,0.27817081264625104
262,-0.11448790271807757
263,0.3056802916832271
264,-0.3943108999679062
265,-0.2684005367507528
266,-0.17472738545199054
267,0.40141609832525643
268,-0.18976007058645267
269,-0.2675808810571952
270,0.3596458939485903
271,-0.18141648145762637
272,-0.12858354036659997
273,-0.04871902867598842
274,-0.2763623621211798
275,0.008874603469063222
276,0.049338776010260224
277,-0.10624638321689549
278,0.24339292055315923
279,0.1524583181139819
280,0.3988747856792706
281,-0.11693471121598478
282,-0.058098639581717126
283,0.2237764413844465
284,-0.10745057685023504
285,-0.19622092539851482
286,0.3386913018052705
287,0.08936375850391
288,0.29617105226586715
289,-0.04420638516798885
