Dimension,EDI Score
91,0.3713213473098224
92,0.4394297742797506
93,0.5417691094634549
94,0.13382773783092472
95,0.24970395922990968
96,0.5024269163104179
97,0.07238116649250953
98,0.39717995807253054
99,0.3841767153601996
100,0.2301670131326311
101,0.3810412223468311
102,0.5316858372478095
103,0.49645241425255127
104,0.23292969676672395
105,0.09064833262557123
106,0.47922272862150334
107,0.40026628142334697
108,0.09273539880441509
109,0.5471448834668666
110,0.16449313942598906
111,0.2505298312149975
112,0.5112977259045278
113,0.2742896207527469
114,0.2192721199243199
115,0.17475594572945286
116,0.38886933440994553
117,0.26173045709472115
118,0.3421940891363632
119,0.3461192238197458
120,0.6090949712649512
121,0.4199647875412889
122,0.3283318202844083
123,0.0540611628679075
124,0.39367580740341196
125,0.22925293927035262
126,0.48831370673372043
127,0.3255629587222155
128,0.22649786070527345
129,0.1684581427948203
130,0.4915831418503778
131,0.4202426226282701
132,0.2325060617521904
133,0.40539461466657123
134,0.4320720731224425
135,0.5303465366538554
136,0.43021866219618826
137,0.09614148744052664
138,0.5152200610621694
139,0.24618520088421836
140,0.5303883874191296
141,0.4383338665269781
142,0.7415918748301068
143,0.1453119353612265
144,0.5595779014146947
145,0.34307070260743
146,0.25790062191840996
147,0.39944593719945654
148,0.1400513143993638
149,0.1624603972416931
150,0.47159495568781673
151,0.1724633564363452
152,0.13729806300184005
153,0.17982900269702248
154,0.10246442702453165
155,0.16731107028606262
156,0.4164589245239189
157,0.412933648773944
158,0.37481063487649285
159,0.20978411520993864
160,0.17525594099025674
161,0.5687832003665729
162,0.5809338292741125
163,0.5790079757644219
164,0.3989852908382047
165,0.41856491294429954
166,0.1924004055390381
167,0.11555495811517633
168,0.382159789911904
169,0.1984649833122695
170,0.4654799761903064
171,0.4481364532759745
172,0.13573712978691038
173,0.43597300197107147
174,0.19588105486202145
175,0.15104551636578373
176,0.4858514675016742
177,0.2262032993799829
178,0.6202803899078843
179,0.6165294086445916
180,0.8456802318574599
181,0.18690292311862583
182,0.5080633529441364
183,0.4309880538900445
184,0.1471694461657742
185,0.38085036238935016
186,0.17233325386623669
187,0.5901013801897285
188,0.6062258091499977
189,0.366423485468918
190,0.3688651167272321
191,0.18863949732162144
192,0.49055938305435265
193,0.10341483795691098
194,0.3579927446481127
195,0.16773695996269136
196,0.27664040780522947
197,0.12623353802212356
198,0.3660132491159364
199,0.426533518136507
200,0.11825365878180302
201,0.22668942819718219
202,0.5387302233563219
203,0.3806110855473
204,0.45698137205587064
205,0.536658035340643
206,0.08034802055577658
207,0.1574224290626392
208,0.2419644360789387
209,0.12423259862308096
210,0.27644521175822656
211,0.11357866568827348
212,0.4361149676971582
213,0.38241651826992223
214,0.07670583532564389
215,0.13034810056007798
216,0.0798780996037047
217,0.16770337364205185
218,0.3788597701321962
219,0.3753401593903366
220,0.441808443929412
221,0.01523435887996524
222,0.32391355040292624
223,0.15617369030280714
224,0.231123905481404
225,0.4732394708204016
226,0.16578004999888116
227,0.5685402969681299
228,0.4771371999444147
229,0.24511687522751568
230,0.15750148801769054
231,0.276371444575163
232,0.1010856470860581
233,0.13718938169661304
234,0.39838621421816095
235,0.3406693820940954
236,0.4853380842878376
237,0.1700273302599541
238,0.07090595945250633
239,0.46815221733725354
240,0.4349150892044659
241,0.117857871336153
242,0.18159681141507342
243,0.12637155909271602
244,0.2101983454955976
245,0.23928589565500624
246,0.4478618868644001
247,0.5228605261880301
248,0.14067747358438046
249,0.1884274800830229
250,0.2707133154174457
251,0.47852399540763146
252,0.39795123456309156
253,0.5560908796382207
254,0.2975075432603112
255,0.11850621537086861
256,0.17812877287826295
257,0.30188025903264304
258,0.37848915491852825
259,0.37420664254302155
260,0.38787006856294926
261,0.09535646120879532
262,0.3245128831131492
263,0.14869557138839357
264,0.5466414812366261
265,0.6934058343857752
266,0.23826401868879699
267,0.0769343920519454
268,0.3781537167769236
269,0.2645446673678294
270,0.1422911313830662
271,0.5072100329372017
272,0.3229715867206326
273,0.6605807907625514
274,0.4794019790634293
275,0.35722536778160646
276,0.23098336097627192
277,0.09982737568059968
278,0.47396357655247723
279,0.37502666852041244
280,0.4091544917062496
281,0.3011325938238579
282,0.415420783205703
283,0.37682283413672335
284,0.5372948622411382
285,0.32010786125864843
286,0.33736499693700694
287,0.42995646473745625
288,0.5441613981298659
289,0.572834160348567
290,0.1506516498163959
291,0.17688448204880583
292,0.0730472259360066
293,0.18499560892800165
294,0.6429876464166997
295,0.16372061334832433
296,0.18439133208715142
297,0.1987133693712676
298,0.13084943570542806
299,0.11643971181111189
300,0.4899847095283209
301,0.4607889734026944
302,0.3321899161284512
303,0.07541100143875622
304,0.371698942923102
305,0.20123522934031088
306,0.29267105702938373
307,0.3719935972863412
308,0.6516940339013466
309,0.4084454952797261
310,0.11603603609787416
311,0.4655010929352857
312,0.3661137804093304
313,0.6421208200457189
314,0.08519408624647751
315,0.4380509034447356
316,0.4306709158299458
317,0.47260567453705216
318,0.08679717990724733
319,0.21249048664818734
320,0.2630343887278093
321,0.34380715037043535
322,0.10124156362537912
323,0.0913484368531429
324,0.37305327956247614
325,0.3422410306520573
326,0.13065367413299586
327,0.27660205619836326
328,0.10982923762406185
329,0.4190480181497279
330,0.07793840188804052
331,0.6233422550538683
332,0.5904676845227451
333,0.516488661743459
334,0.21205602452375064
335,0.35084293844700215
336,0.12334815291065582
337,0.1448520541442039
338,0.10492857478607259
339,0.12255070785037371
340,0.40228287956206543
341,0.4872739661185521
342,0.3015796512748449
343,0.08260180968338357
344,0.5254020646601884
345,0.46571658826166634
346,0.3910604556688948
347,0.4397685905322951
348,0.12516140432637174
349,0.2572291388025981
350,0.23350635007332152
351,0.20997781195980408
352,0.40969566089927867
353,0.34946853785001253
354,0.35083710629227927
355,0.1386402239620928
