Dimension,EDI Score
149,0.3545752742956508
150,0.16899030537050783
151,0.35081485681090824
152,0.12092065043483022
153,0.3936720293535224
154,0.6061788758782769
155,0.12493298750872234
156,0.295101620871801
157,0.36136585703904994
158,0.24034609995746387
159,0.3050066725098934
160,0.2008011572671195
161,0.1914986388602501
162,0.5293937625266878
163,0.40928383727860534
164,0.35592612726836026
165,0.30747105553084725
166,0.34957088520606755
167,0.20455896198355292
168,0.23607789247048228
169,0.2687812012789016
170,0.19308873208376984
171,0.20356303118613306
172,0.2240749070373882
173,0.21487508668863825
174,0.515315383908621
175,0.2347021510529356
176,0.22807241846854226
177,0.4687426860761144
178,0.5064961469936545
179,0.15128491236119657
180,0.2799193900840658
181,0.3876713969074406
182,0.17060078508409932
183,0.20275307811359014
184,0.16024634016246614
185,0.12835355106362326
186,0.5641980835563231
187,0.4578816839281977
188,0.17621440847259517
189,0.2577355966969881
190,0.17603000057872165
191,0.3784062884743193
192,0.15052839689682818
193,0.16621905129808923
194,0.1594302569542506
195,0.17172261966083424
196,0.2629536736285617
197,0.2914633374285915
198,0.1906473984881043
199,0.2627042722035573
200,0.46255934215943906
201,0.18925367134809878
202,0.267924273009453
203,0.30451988020745435
204,0.2846159103109336
205,0.15631052474591808
206,0.27063990637194546
207,0.3647895380976871
208,0.13170241050642695
209,0.6668013890917615
210,0.3228785485268777
211,0.22794084227706873
212,0.2341379220677324
213,0.2226824640649989
214,0.257308531600268
215,0.1853024680375181
216,0.3035940994646079
217,0.40094969987850204
218,0.2150705183661556
219,0.2334926556501912
220,0.2681678434789182
221,0.2626201637544843
222,0.1264460058957063
223,0.34792368442861127
224,0.2734984364400084
225,0.4434213887849452
226,0.20339849678004754
227,0.1416132530036513
228,0.2398086453889096
229,0.31083577379991706
230,0.1152805517039597
231,0.2555732036742145
232,0.19375901945079288
233,0.20163343385489294
234,0.21308185934140517
235,0.621041874367251
236,0.2518364165555801
237,0.18882220242157077
238,0.2156824703648821
239,0.2346004848782149
240,0.20345707418648484
241,0.14667439524153553
242,0.18355737603995906
243,0.40476701067329546
244,0.2473333478651636
245,0.18460395414216155
246,0.4794295411450955
247,0.2472451279051711
248,0.3126050780678275
249,0.4169491442352957
250,0.3039647725915406
251,0.12889320373810023
252,0.28077066564384595
253,0.26327341967022144
254,0.26625152517997497
255,0.3912821735835919
256,0.5308161230704013
257,0.22998456255335414
258,0.2767923641909823
259,0.23710079520981664
260,0.2672032693839348
261,0.16670092343321083
262,0.2946566815975515
263,0.15476142670798432
264,0.2752000160321732
265,0.30262545144683345
266,0.25969540209253833
267,0.410857901116216
268,0.17576281021654505
269,0.1480882181172961
270,0.3771748013976899
271,0.3116470478234612
272,0.44947255961008525
273,0.08247799230674799
274,0.26987647201412346
275,0.3149895613144438
276,0.2484394821844908
